Judeþ;Populaþie;Beneficiari plãtiþi;Beneficiari suspendaþi la sfârºit de lunã;Suma totalã plãtitã drepturi curente;Alte plãþi
ALBA;379486;3455;233;5254810;212363
ARAD;473319;4246;292;6478854;487974
ARGES;643524;5260;584;8173485;606756
BACAU;745393;3808;379;5859162;436550
BIHOR;618582;6032;44;9020581;608893
BISTRITA-NASAUD;329326;3163;199;4541457;330125
BOTOSANI;454590;2650;2;3753533;215141
BRAILA;352881;1693;173;2555247;112192
BRASOV;632650;5965;628;10764287;750444
BUCURESTI;2102912;24126;1694;62647571;4580879
BUZAU;475177;2470;330;3499396;202685
CALARASI;315613;1524;110;2163459;131511
CARAS-SEVERIN;325495;1842;164;2620132;258271
CLUJ;725549;8662;838;17508065;1401895
CONSTANTA;769183;5882;553;9587528;663493
COVASNA;228223;1731;160;2526275;139822
DAMBOVITA;526705;3188;376;4781200;285119
DOLJ;697374;3834;484;6127831;558481
GALATI;629503;3244;306;5075170;413875
GIURGIU;275706;1694;131;2490176;172145
GORJ;364058;2261;237;3245037;138912
HARGHITA;333175;3516;284;4926128;322262
HUNEDOARA;466016;2949;215;4206935;346144
IALOMITA;291863;1492;149;2107961;105758
IASI;930179;6752;786;12094249;909282
ILFOV;407505;5785;1050;12650120;961277
MARAMURES;524848;4451;337;6317663;320120
MEHEDINTI;284840;1450;114;2080258;75418
MURES;595147;4178;449;6666675;741098
NEAMT;575353;3194;295;4786337;218505
OLT;446019;2310;207;3273501;191499
PRAHOVA;804158;6347;584;10069166;1605100
SALAJ;246810;2047;183;2974834;198294
SATU MARE;389982;2635;191;3867164;187249
SIBIU;465271;4465;473;7851846;1160137
SUCEAVA;747399;5408;188;7574358;533976
TELEORMAN;384276;1746;151;2440349;206012
TIMIS;746550;7111;604;13688272;1249855
TULCEA;242286;1109;128;1650174;110973
VALCEA;401181;3109;68;4680461;270077
VASLUI;484866;2163;3;3055759;135200
VRANCEA;389921;1960;222;2763123;85736